"Área Geográfica","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","",""
"Crosstab","","","","","","","","",""
"  de Provincia","","","","","","","","",""
"  por P: Población con discapacidad: Ninguna","","","","","","","","",""
"","","","","","","","","",""
"","Provincia","P: Población con discapacidad: Ninguna","","","","","","",""
"","","Sí, tiene alguna discapacidad","No tiene discapacidad","Total","","","","",""
""," Cusco, provincia: Paucartambo","9.76%","90.24%","100.00%","","","","",""
""," Cusco, provincia: Quispicanchi","9.48%","90.52%","100.00%","","","","",""
""," Cusco, provincia: Urubamba","8.55%","91.45%","100.00%","","","","",""
""," Huancavelica, provincia: Acobamba","6.80%","93.20%","100.00%","","","","",""
""," Huancavelica, provincia: Angaraes","8.77%","91.23%","100.00%","","","","",""
""," Huancavelica, provincia: Castrovirreyna","13.09%","86.91%","100.00%","","","","",""
""," Huancavelica, provincia: Churcampa","8.95%","91.05%","100.00%","","","","",""
""," Huancavelica, provincia: Huancavelica","10.26%","89.74%","100.00%","","","","",""
""," Huancavelica, provincia: Huaytará","13.29%","86.71%","100.00%","","","","",""
""," Huancavelica, provincia: Tayacaja","9.44%","90.56%","100.00%","","","","",""
""," Huánuco, provincia: Ambo","8.51%","91.49%","100.00%","","","","",""
""," Huánuco, provincia: Dos De Mayo","10.61%","89.39%","100.00%","","","","",""
""," Huánuco, provincia: Huacaybamba","7.45%","92.55%","100.00%","","","","",""
""," Huánuco, provincia: Huamalíes","11.57%","88.43%","100.00%","","","","",""
""," Huánuco, provincia: Huánuco","9.45%","90.55%","100.00%","","","","",""
""," Huánuco, provincia: Lauricocha","8.87%","91.13%","100.00%","","","","",""
""," Huánuco, provincia: Leoncio Prado","10.15%","89.85%","100.00%","","","","",""
""," Huánuco, provincia: Marañón","10.11%","89.89%","100.00%","","","","",""
""," Huánuco, provincia: Pachitea","6.59%","93.41%","100.00%","","","","",""
""," Huánuco, provincia: Puerto Inca","7.20%","92.80%","100.00%","","","","",""
""," Huánuco, provincia: Yarowilca","10.62%","89.38%","100.00%","","","","",""
""," Ica, provincia: Chincha","10.19%","89.81%","100.00%","","","","",""
""," Ica, provincia: Ica","10.79%","89.21%","100.00%","","","","",""
""," Ica, provincia: Nazca","11.64%","88.36%","100.00%","","","","",""
""," Ica, provincia: Palpa","12.21%","87.79%","100.00%","","","","",""
""," Ica, provincia: Pisco","10.10%","89.90%","100.00%","","","","",""
""," Junín, provincia: Chanchamayo","10.81%","89.19%","100.00%","","","","",""
